1,0.111072,43.215214
1001,2.220384,2.161788
2001,0.540064,8.887836
3001,0.580864,8.263552
4001,0.651392,7.368835
5001,0.802688,5.979908
6001,0.918656,5.225024
7001,1.073472,4.471472
8001,1.188672,4.038120
9001,1.330848,3.606723
10001,1.480384,3.242402
11001,1.632640,2.940023
12001,1.878016,2.555889
13001,1.913920,2.507942
14001,2.124064,2.259819
15001,2.222784,2.159454
16001,2.380864,2.016075
17001,2.494816,1.923990
18001,2.640032,1.818160
19001,2.791776,1.719336
20001,2.938688,1.633382
21001,3.104544,1.546121
22001,3.230560,1.485811
23001,3.397920,1.412629
24001,3.519200,1.363946
25001,3.821216,1.256145
26001,3.818560,1.257018
27001,3.968416,1.209551
28001,4.140192,1.159366
29001,4.295264,1.117510
30001,4.431520,1.083150
31001,4.563072,1.051923
32001,4.711776,1.018724
33001,5.015232,0.957084
34001,5.052384,0.950047
35001,5.195776,0.923827
36001,5.334688,0.899771
37001,5.481280,0.875708
38001,5.614944,0.854862
39001,5.786816,0.829472
