1,0.267633,35.870010
101,0.379740,25.280472
201,0.199211,48.190193
301,0.239876,40.020634
401,0.331029,29.000448
501,0.282037,34.038044
601,0.306217,31.350361
701,0.325519,29.491369
801,0.330989,29.004000
901,0.330345,29.060570
1001,0.392201,24.477274
1101,0.412177,23.290960
1201,0.444126,21.615492
1301,0.451714,21.252380
1401,0.485758,19.762934
1501,0.601653,15.956032
1601,0.604851,15.871670
1701,0.581820,16.499956
1801,0.664736,14.441823
1901,0.625071,15.358255
2001,0.648011,14.814572
2101,0.659622,14.553782
2201,0.688749,13.938319
2301,0.724058,13.258614
2401,0.734583,13.068630
2501,0.769566,12.474566
2601,0.766300,12.527734
2701,0.815571,11.770889
2801,0.834483,11.504126
2901,0.855827,11.217217
3001,0.923981,10.389826
3101,0.976388,9.832154
3201,0.923168,10.398974
3301,1.012768,9.478972
3401,1.101207,8.717703
3501,1.050955,9.134552
3601,1.084162,8.854764
3701,1.133602,8.468578
3801,1.180043,8.135299
3901,1.253602,7.657932
4001,1.225139,7.835844
4101,1.280548,7.496789
4201,1.262475,7.604113
4301,1.278938,7.506230
4401,1.192169,8.052552
4501,1.240503,7.738793
4601,1.259866,7.619860
4701,1.276926,7.518056
4801,1.319283,7.276680
4901,1.324868,7.246005
5001,1.358760,7.065263
5101,1.355503,7.082242
5201,1.363382,7.041316
5301,1.430253,6.712100
5401,1.430735,6.709838
5501,1.477577,6.497125
5601,1.477523,6.497360
5701,1.510142,6.357019
5801,1.541685,6.226952
5901,1.571465,6.108951
6001,1.593150,6.025799
6101,1.641308,5.848995
6201,1.656011,5.797065
6301,1.684619,5.698619
6401,1.706707,5.624866
6501,1.749717,5.486600
6601,1.737592,5.524889
6701,1.747838,5.492501
6801,1.778701,5.397198
6901,1.801133,5.329978
7001,1.815575,5.287580
7101,1.774088,5.411230
7201,1.870317,5.132820
7301,1.886129,5.089789
7401,1.905293,5.038596
7501,1.955298,4.909737
7601,1.914899,5.013319
7701,2.011087,4.773538
7801,1.966848,4.880906
7901,2.042251,4.700696
8001,2.046897,4.690026
8101,2.023785,4.743588
8201,2.036862,4.713132
8301,2.084834,4.604683
8401,2.105557,4.559363
8501,2.132085,4.502634
8601,2.167281,4.429513
8701,2.221702,4.321012
8801,2.241403,4.283031
8901,2.254562,4.258033
9001,2.294624,4.183692
9101,2.287108,4.197440
9201,2.300939,4.172210
9301,2.357331,4.072402
9401,2.353380,4.079238
9501,2.385167,4.024876
9601,2.396535,4.005783
9701,2.348845,4.087115
9801,2.411738,3.980532
9901,2.445154,3.926133
10001,2.459390,3.903407
10101,2.485022,3.863145
10201,2.494392,3.848634
10301,2.510694,3.823644
10401,2.554046,3.758742
10501,2.557173,3.754145
10601,2.620563,3.663335
10701,2.623859,3.658733
10801,2.660533,3.608299
10901,2.653067,3.618454
11001,2.673651,3.590595
11101,2.706485,3.547036
11201,2.743358,3.499361
11301,2.754204,3.485581
11401,2.758605,3.480020
11501,2.786519,3.445158
11601,2.800250,3.428266
11701,2.833092,3.388524
11801,2.844751,3.374636
11901,2.872879,3.341596
12001,2.905199,3.304421
12101,2.918837,3.288981
12201,2.944585,3.260222
12301,2.965995,3.236688
12401,2.985352,3.215701
12501,2.998071,3.202059
12601,3.033022,3.165160
12701,3.057105,3.140226
12801,3.143812,3.053618
12901,3.142063,3.055318
13001,3.162567,3.035509
13101,3.197273,3.002558
13201,3.194148,3.005496
13301,3.206933,2.993514
13401,3.258515,2.946127
13501,3.286799,2.920775
13601,3.278432,2.928229
13701,3.337903,2.876057
13801,3.332864,2.880406
13901,3.358947,2.858039
14001,3.367424,2.850844
14101,3.361015,2.856280
14201,3.405088,2.819310
14301,3.396561,2.826388
14401,3.468200,2.768006
14501,3.478737,2.759622
14601,3.502249,2.741096
14701,3.521813,2.725868
14801,3.537286,2.713945
14901,3.544350,2.708536
15001,3.535413,2.715383
15101,3.630270,2.644432
15201,3.657755,2.624560
15301,3.674698,2.612459
15401,3.690321,2.601399
15501,3.694733,2.598293
15601,3.732664,2.571890
15701,3.764215,2.550333
15801,3.790342,2.532753
15901,3.797389,2.528053
16001,3.828215,2.507696
16101,3.842139,2.498608
16201,3.874825,2.477531
16301,3.885564,2.470684
16401,3.921391,2.448111
16501,3.959740,2.424402
16601,3.988915,2.406669
16701,3.995713,2.402575
16801,4.052768,2.368751
16901,4.051495,2.369496
17001,4.093551,2.345152
17101,4.055336,2.367251
17201,4.127769,2.325711
17301,4.132968,2.322786
17401,4.144965,2.316063
17501,4.151556,2.312386
17601,4.171578,2.301287
17701,4.214995,2.277583
17801,4.216280,2.276889
17901,4.244898,2.261539
18001,4.248251,2.259753
18101,4.305365,2.229776
18201,4.305197,2.229863
18301,4.333372,2.215365
18401,4.348838,2.207486
18501,4.364213,2.199709
18601,4.377728,2.192918
18701,4.363667,2.199984
18801,4.435561,2.164326
18901,4.396648,2.183482
19001,4.474878,2.145310
19101,4.516619,2.125484
19201,4.536145,2.116334
19301,4.554782,2.107675
19401,4.565156,2.102885
19501,4.592096,2.090549
19601,4.625523,2.075441
19701,4.638208,2.069765
19801,4.688517,2.047556
19901,4.719535,2.034099
20001,4.672736,2.054471
20101,4.748291,2.021780
20201,4.741611,2.024629
20301,4.772371,2.011579
20401,4.788672,2.004731
20501,4.827912,1.988437
20601,4.838797,1.983964
20701,4.810916,1.995462
20801,4.842551,1.982426
20901,4.850759,1.979072
21001,4.879027,1.967605
21101,4.853032,1.978145
21201,4.802444,1.998982
21301,4.776158,2.009984
21401,4.777115,2.009581
21501,4.823900,1.990091
21601,4.874646,1.969374
21701,4.807635,1.996824
21801,4.857019,1.976521
21901,4.826855,1.988873
22001,4.825103,1.989595
22101,4.826402,1.989059
22201,4.856672,1.976662
22301,4.853611,1.977909
22401,4.868000,1.972063
22501,4.869133,1.971603
22601,4.865711,1.972990
22701,4.890296,1.963072
22801,4.902193,1.958307
22901,4.920113,1.951175
23001,4.893615,1.961740
23101,4.830874,1.987218
23201,4.823968,1.990063
23301,4.822332,1.990738
23401,4.844429,1.981658
23501,4.930605,1.947023
23601,5.036390,1.906127
23701,4.940871,1.942977
23801,4.949167,1.939720
23901,4.995793,1.921617
24001,4.995866,1.921589
24101,4.893875,1.961636
24201,4.867919,1.972095
24301,4.864973,1.973289
24401,4.870464,1.971065
24501,4.880175,1.967143
24601,4.908845,1.955654
24701,4.936687,1.944624
24801,4.957990,1.936268
24901,4.908483,1.955798
25001,4.864427,1.973511
25101,4.881238,1.966714
25201,4.864162,1.973619
25301,4.891159,1.962725
25401,4.897741,1.960087
25501,4.912384,1.954245
25601,4.878535,1.967804
25701,4.878237,1.967924
25801,4.859338,1.975578
25901,4.869833,1.971320
26001,4.884229,1.965510
26101,4.854624,1.977496
26201,4.929726,1.947370
26301,4.906500,1.956588
26401,4.892298,1.962268
26501,4.902544,1.958167
26601,4.881693,1.966531
26701,4.943851,1.941806
26801,4.950172,1.939327
26901,4.979827,1.927778
27001,4.987797,1.924697
27101,5.014223,1.914554
27201,5.033233,1.907323
27301,5.044409,1.903097
27401,5.000693,1.919734
27501,5.064139,1.895683
27601,5.094411,1.884418
27701,5.089150,1.886366
27801,5.136011,1.869155
27901,5.124395,1.873392
28001,5.145210,1.865813
28101,5.105432,1.880350
28201,5.211988,1.841908
28301,5.205295,1.844276
28401,5.270547,1.821443
28501,5.235010,1.833807
28601,5.303727,1.810048
28701,5.262086,1.824372
28801,5.290496,1.814575
28901,5.290754,1.814486
29001,5.342703,1.796843
29101,5.332740,1.800200
29201,5.384585,1.782867
29301,5.351532,1.793879
29401,5.412071,1.773813
29501,5.453536,1.760326
29601,5.465715,1.756403
29701,5.465054,1.756616
29801,5.486839,1.749641
29901,5.500402,1.745327
30001,5.504728,1.743955
30101,5.519273,1.739360
